position,file,repo,path,ref,html_url,decision,criterion,evidence
10,010-1,swethxgottumukkala19/MLS-course-lab-files,C2_W4_Lab_02_Tree_Ensemble.ipynb,265a97f3627e815056d44f00e64318156d5b6058,https://github.com/swethxgottumukkala19/MLS-course-lab-files/blob/265a97f3627e815056d44f00e64318156d5b6058/C2_W4_Lab_02_Tree_Ensemble.ipynb,exclude,E4,functional copy of 005-1 (deviation D1)
11,011-1,ReshmaDhindale/FODS,ASS6.ipynb,900aae3fe69e75caaf5358a05d3da9f10a1203c8,https://github.com/ReshmaDhindale/FODS/blob/900aae3fe69e75caaf5358a05d3da9f10a1203c8/ASS6.ipynb,exclude,E2,"Only loads, describes, dedups and imputes the 918x12 data; no classifier is fit."
12,012-1,DavidSenseman/BIO1173,BIO1173_Class_02_2.ipynb,38eb0c9b37601dcda53a9097da70476c75c3c451,https://github.com/DavidSenseman/BIO1173/blob/38eb0c9b37601dcda53a9097da70476c75c3c451/BIO1173_Class_02_2.ipynb,exclude,E1,"No code cell loads the heart CSV; heart exercise cells are empty, zero outputs. 918x12 appears only in instructional markdown."
13,013-1,MANPREETS47/Data-Cleaning-and-Analysis,Heart.ipynb,9ce4ebd7ff3207df00455452718b146d127779c3,https://github.com/MANPREETS47/Data-Cleaning-and-Analysis/blob/9ce4ebd7ff3207df00455452718b146d127779c3/Heart.ipynb,exclude,E1,"Loads 'cleaned_heart.csv', already one-hot encoded and scaled (16 columns); no (918,12) shape printed."
14,014-1,sanfla/Heart_Failure_Classification,heart_faillure.ipynb,e7df01c4741905044b4c54aaacbf3acb72956b4f,https://github.com/sanfla/Heart_Failure_Classification/blob/e7df01c4741905044b4c54aaacbf3acb72956b4f/heart_faillure.ipynb,include,,918x12 shown; KNN pipeline predicts HeartDisease; test accuracy 0.8676 printed.
15,015-1,promiseekeh/Lecture-Hub-Mentoring-Circle,Machine Learning Project.ipynb,f8f7be4fd5730c446f604086adb0d943ec91b1bc,https://github.com/promiseekeh/Lecture-Hub-Mentoring-Circle/blob/f8f7be4fd5730c446f604086adb0d943ec91b1bc/Machine Learning Project.ipynb,include,,"(918, 12) shown; RandomForest predicts HeartDisease; test score 0.8804 shown."
16,016-1,usunyu/my-awesome-courses,Advanced Learning Algorithms/Week 4/C2_W4_Lab_02_Tree_Ensemble.ipynb,2b6eea1e60b561422975e94f82ed3c00e38e0c45,https://github.com/usunyu/my-awesome-courses/blob/2b6eea1e60b561422975e94f82ed3c00e38e0c45/Advanced Learning Algorithms/Week 4/C2_W4_Lab_02_Tree_Ensemble.ipynb,exclude,E4,functional copy of 005-1 (deviation D1)
17,017-1,hrnnikolov/ML_models,PCA/PCA.ipynb,30f2c86f6141dfd442dba2e1037273e50de952b3,https://github.com/hrnnikolov/ML_models/blob/30f2c86f6141dfd442dba2e1037273e50de952b3/PCA/PCA.ipynb,include,,918x12 shown; LogisticRegression on PCA features predicts HeartDisease; test score 0.6961 shown; GridSearchCV CV scores shown.
18,018-1,mollah2022/Neural-Network,Support_Vector_Classifier_Heart.ipynb,088af777b43ef43300097b54092d86a65530151a,https://github.com/mollah2022/Neural-Network/blob/088af777b43ef43300097b54092d86a65530151a/Support_Vector_Classifier_Heart.ipynb,include,,Loads heart.csv with the 12 Kaggle columns; SVC predicts HeartDisease; test accuracy 0.8587 printed (184 test rows = 20% of 918).
19,019-1,BALAVIGNESHDOSTRIX/heart_doc,data_engineering/optuna_optimize.ipynb,b7f5d1f73a4a50616ef02f5609daeeddc8179642,https://github.com/BALAVIGNESHDOSTRIX/heart_doc/blob/b7f5d1f73a4a50616ef02f5609daeeddc8179642/data_engineering/optuna_optimize.ipynb,exclude,E3,"PyTorch ANN tuned with Optuna on heart.csv, but no cell has any output; no metric is shown."
20,020-1,sraa-yaa/HeartDisease-Prediction,HeartDiseasePrediction.ipynb,3799d33af865864a4024061475e7a15dcd1fb4c7,https://github.com/sraa-yaa/HeartDisease-Prediction/blob/3799d33af865864a4024061475e7a15dcd1fb4c7/HeartDiseasePrediction.ipynb,exclude,E3,Five classifiers fit; test accuracies stored in acc_s and only plotted (image); no numeric metric shown in output or markdown.
21,021-1,tarunbhatti7/Heart_Disease_Prediction_ML_Project,final_ml_prject_heartfailure_prediction/heartFailureprediction.ipynb,73bb397ff9b2f63ea45d5c699edb0b2c01a07983,https://github.com/tarunbhatti7/Heart_Disease_Prediction_ML_Project/blob/73bb397ff9b2f63ea45d5c699edb0b2c01a07983/final_ml_prject_heartfailure_prediction/heartFailureprediction.ipynb,include,,918x12 heart.csv; six classifiers on 20% test split; printed test accuracies (SVM 86.41%).
22,022-1,J0SAL/Learning-ML,Codebasis/12PCA/main.ipynb,da51cac924403a7890338bacc29e50bd742be5ca,https://github.com/J0SAL/Learning-ML/blob/da51cac924403a7890338bacc29e50bd742be5ca/Codebasis/12PCA/main.ipynb,include,,"Shape (918, 12); RandomForest fit; model.score on 20% test printed (0.878, then 0.702 with PCA)."
23,023-1,SheikhNazmul/ML-project-for-Heart-Failure-Prediction-Data,Exploratory_Data_Analysis_(EDA)_&_Data_Preprocessing_and_Feature_Engineering.ipynb,f77ebe56d974076d132c16524d1d42c43fb587d8,https://github.com/SheikhNazmul/ML-project-for-Heart-Failure-Prediction-Data/blob/f77ebe56d974076d132c16524d1d42c43fb587d8/Exploratory_Data_Analysis_(EDA)_&_Data_Preprocessing_and_Feature_Engineering.ipynb,exclude,E2,"EDA only; modelling cells (pipeline, sanity-check logistic regression) are empty comments, no classifier fit."
24,024-1,rohitkshirsagar19/Multi-Disease-Predictor-with-XAI,notebooks/heart-failure-prediction-with-x-ai.ipynb,6c8eb5737d6336cb7bb4051601c3cc8ac7f60b77,https://github.com/rohitkshirsagar19/Multi-Disease-Predictor-with-XAI/blob/6c8eb5737d6336cb7bb4051601c3cc8ac7f60b77/notebooks/heart-failure-prediction-with-x-ai.ipynb,exclude,E1,"Loads cleaned_heart.csv, a pre-encoded derivative with 918 rows x 16 columns, not the 12-column Kaggle CSV."
25,025-1,BayuSetiaa/Eksperimen_SML_Bayu-Setia,preprocessing/Eksperimen_Bayu-Setia.ipynb,e181a61ab06037711e41db221f5de78e29a51d35,https://github.com/BayuSetiaa/Eksperimen_SML_Bayu-Setia/blob/e181a61ab06037711e41db221f5de78e29a51d35/preprocessing/Eksperimen_Bayu-Setia.ipynb,exclude,E2,"Preprocessing only (encoding, split, SMOTE, scaling, save CSVs); no classifier is fit."
26,026-1,swanand11/Heart-risk-score-wHACKiest2024,server/myenv/heart-risk-predictor-model.ipynb,8cd35173d71f969e0cd6055f7713ccb16fe11b1c,https://github.com/swanand11/Heart-risk-score-wHACKiest2024/blob/8cd35173d71f969e0cd6055f7713ccb16fe11b1c/server/myenv/heart-risk-predictor-model.ipynb,include,,Loads heart.csv (Kaggle columns); LogisticRegression on 20% test split; printed test accuracy 0.88.
27,027-1,leonvsc/heartfailure,gradientBoosting.ipynb,d017166280aeaa8bfbd098a44d9a1f5b1466a772,https://github.com/leonvsc/heartfailure/blob/d017166280aeaa8bfbd098a44d9a1f5b1466a772/gradientBoosting.ipynb,exclude,E1,"Loads cleaned_and_featured_data_females.csv: 193 rows, altered columns (Cholesterol as H/M/L), not the 918-row CSV."
28,028-1,Shreya-S-Rudagi/ML,Lab 7/1BM22CS267_PCA_.ipynb,3881a7da8be1035bfda4b543a3f91153eca2e82f,https://github.com/Shreya-S-Rudagi/ML/blob/3881a7da8be1035bfda4b543a3f91153eca2e82f/Lab 7/1BM22CS267_PCA_.ipynb,include,,Loads heart.csv with Kaggle columns; SVM/LR/RF pipelines on 30% stratified test; accuracies printed.
29,029-1,LTRibeiros/AnaliseDeDados_Python,Prova_Laboratório.ipynb,22e377047276b5cdd6992e3a4d19712ed26a4970,https://github.com/LTRibeiros/AnaliseDeDados_Python/blob/22e377047276b5cdd6992e3a4d19712ed26a4970/Prova_Laboratório.ipynb,exclude,E2,"Descriptive statistics exercise (means, IQR, binomial); no classifier fit."
30,030-1,Sameershrinath/5th_sem,PYTHON/machine_learning/Heartdiseases.ipynb,f2730a8ecdd23132ead55e563e767c4c37e0d28c,https://github.com/Sameershrinath/5th_sem/blob/f2730a8ecdd23132ead55e563e767c4c37e0d28c/PYTHON/machine_learning/Heartdiseases.ipynb,exclude,E2,"Only a LinearRegression is fit on unencoded X (no output); no classifier fit, no metric."
31,031-1,Manya-BM/Manya-BM,HeartDisease.ipynb,5436a8c4cddf4370b4ddf5b205d9eeb3ee8a1e7c,https://github.com/Manya-BM/Manya-BM/blob/5436a8c4cddf4370b4ddf5b205d9eeb3ee8a1e7c/HeartDisease.ipynb,include,,"918x12 Kaggle CSV (info), four classifiers, 5-fold CV accuracy printed; test accuracies only in unrendered Styler/plot."
32,032-1,Desi2232/Kelompok10_UASPEMSINC_ITPLN,Projek UAS (Regresi).ipynb,cedc2a402a7fdea9e5a81e51df56d772b3ec3f5b,https://github.com/Desi2232/Kelompok10_UASPEMSINC_ITPLN/blob/cedc2a402a7fdea9e5a81e51df56d772b3ec3f5b/Projek UAS (Regresi).ipynb,exclude,E2,Only a LinearRegression of Cholesterol on Age; no classifier predicting HeartDisease.
33,033-1,sunnypark12/HeartFailureModel_ML_Group_Project,Preprocessing/clean_kmeans.ipynb,9624a70385dab2045f000f7c5def63a240a2cfbc,https://github.com/sunnypark12/HeartFailureModel_ML_Group_Project/blob/9624a70385dab2045f000f7c5def63a240a2cfbc/Preprocessing/clean_kmeans.ipynb,exclude,E2,"Preprocessing only: KMeans-based imputation of Cholesterol zeros, saves CSV; no supervised classifier fitted."
34,034-1,developer-student-club-thapar/ML-Project,Models_AryanPanja/Heart_Failure_Model/Heart_Failure_Prediction_Dataset.ipynb,8fb74394878da07a28a9560e2b1ab51d8523e4e5,https://github.com/developer-student-club-thapar/ML-Project/blob/8fb74394878da07a28a9560e2b1ab51d8523e4e5/Models_AryanPanja/Heart_Failure_Model/Heart_Failure_Prediction_Dataset.ipynb,include,,"Kaggle CSV (918 entries after one-hot), LogisticRegression, test accuracy 0.8609 printed."
35,035-1,abuhmhai/Advanced-Algorithms,W4_Lab_02_Tree_Essemble.ipynb,70987e95ea36fa6c04c6998425f9783b4e199bad,https://github.com/abuhmhai/Advanced-Algorithms/blob/70987e95ea36fa6c04c6998425f9783b4e199bad/W4_Lab_02_Tree_Essemble.ipynb,exclude,E4,functional copy of 005-1 (deviation D1)
36,036-1,epatayb/Heart-Failure-Prediction,Knn.ipynb,a5e89eacd688a7f75ee5ba1d919005cd8ac61331,https://github.com/epatayb/Heart-Failure-Prediction/blob/a5e89eacd688a7f75ee5ba1d919005cd8ac61331/Knn.ipynb,include,,"Shape (918, 12) printed, KNN classifier, test accuracy 0.9058 printed."
37,037-1,ADVAIT135/Deep_Learning_AI_Machine_Learning-,Advanced Learning Algorithms/Tree Ensembles.ipynb,173ab117690a035681716049cea1e439ffaf8a9b,https://github.com/ADVAIT135/Deep_Learning_AI_Machine_Learning-/blob/173ab117690a035681716049cea1e439ffaf8a9b/Advanced Learning Algorithms/Tree Ensembles.ipynb,exclude,E4,functional copy of 005-1 (deviation D1)
38,038-1,huydt84/Heart-Failure-Prediction,model.ipynb,db0084026d412db843200be2907758419e29744c,https://github.com/huydt84/Heart-Failure-Prediction/blob/db0084026d412db843200be2907758419e29744c/model.ipynb,include,,"918 rows x 12 columns printed, Keras NN/RF/SVM classifiers, test accuracies printed."
39,039-1,prabhanjanbhat/MAL,1BM22CS196_Lab_11_PCA.ipynb,2f7fb6847e53fda6aae2e30f17660974bab64511,https://github.com/prabhanjanbhat/MAL/blob/2f7fb6847e53fda6aae2e30f17660974bab64511/1BM22CS196_Lab_11_PCA.ipynb,include,,"Loads heart.csv with the Kaggle columns, SVM/LR/RF on HeartDisease, test accuracies printed (SVM+PCA 0.8944)."
40,040-1,F-iol/ML-models,Classification&Regression Models/Heart Failure Prediction/pytorch.ipynb,7d5a6ad0a4d8fac7d5310fc89da02e782fb65c8e,https://github.com/F-iol/ML-models/blob/7d5a6ad0a4d8fac7d5310fc89da02e782fb65c8e/Classification&Regression Models/Heart Failure Prediction/pytorch.ipynb,include,,"Kaggle CSV (550+184+184=918 rows), PyTorch binary classifier, test accuracy 85.8696% printed."
41,041-1,DhruvJais01/CodebasicsYT_MachineLearning,21_Ensemble Learning Bagging/exercise.ipynb,c38a2577cc8cffcbe43e0727dd517d47d59e11b9,https://github.com/DhruvJais01/CodebasicsYT_MachineLearning/blob/c38a2577cc8cffcbe43e0727dd517d47d59e11b9/21_Ensemble Learning Bagging/exercise.ipynb,include,,"describe() shows 918 rows, 12 Kaggle columns; SVC, bagging, DT, RF fitted; 5-fold CV accuracy means printed."
42,042-1,rmtan99/learn,Machine-Learning-Specialization-Coursera/C2_Advanced_Learning_Algorithms/week4/optional labs/.ipynb_checkpoints/C2_W4_Lab_02_Tree_Ensemble-checkpoint (2).ipynb,02c5fe78121c6d1e145892b52d6bc7d4580c8056,https://github.com/rmtan99/learn/blob/02c5fe78121c6d1e145892b52d6bc7d4580c8056/Machine-Learning-Specialization-Coursera/C2_Advanced_Learning_Algorithms/week4/optional labs/.ipynb_checkpoints/C2_W4_Lab_02_Tree_Ensemble-checkpoint (2).ipynb,exclude,E3,Coursera tree-ensemble lab with no cell outputs; accuracies computed in print but never shown; markdown gives no held-out numeric metric.
43,043-1,banvro/saturday-stuff,pandas-saturdat.ipynb,ea8defce5d90a03ada630dfb7c48663637a13293,https://github.com/banvro/saturday-stuff/blob/ea8defce5d90a03ada630dfb7c48663637a13293/pandas-saturdat.ipynb,exclude,E2,Pandas tutorial; heart.csv loaded (918x12) and displayed only; no classifier is fitted.
44,044-1,ariyan378/Machine-Learning-Specialization,Advanced-Learning-Algorithms/week-4/.ipynb_checkpoints/C2_W4_Lab_02_Tree_Ensemble-checkpoint.ipynb,0ae92a55f72374f6d73461873b9de57f72f611c2,https://github.com/ariyan378/Machine-Learning-Specialization/blob/0ae92a55f72374f6d73461873b9de57f72f611c2/Advanced-Learning-Algorithms/week-4/.ipynb_checkpoints/C2_W4_Lab_02_Tree_Ensemble-checkpoint.ipynb,exclude,E3,Coursera tree-ensemble lab checkpoint with no cell outputs; test accuracies computed but never displayed; markdown has no numbers.
45,045-1,DemarchiWorking/AXIOS-API-VUE,pb_inteligencia_artificial_machine_learning.ipynb,fed83deb5b761e59d7bf389b8a4b5ddbfaf2fceb,https://github.com/DemarchiWorking/AXIOS-API-VUE/blob/fed83deb5b761e59d7bf389b8a4b5ddbfaf2fceb/pb_inteligencia_artificial_machine_learning.ipynb,include,,"info() shows 918 entries, 12 columns; KNN fitted; validation accuracy printed for K=1..20, best K=15 at 0.7772."
46,046-1,Piyush05062006/Machine-Learning,heart_disease/heart_disease.ipynb,d6ddf8a39508b71235eb5f54e235b17ae94b4ebc,https://github.com/Piyush05062006/Machine-Learning/blob/d6ddf8a39508b71235eb5f54e235b17ae94b4ebc/heart_disease/heart_disease.ipynb,include,,"info() shows 918 entries, 12 columns; five classifiers fitted; test accuracy and F1 printed; markdown selects SVM, which is saved."
47,047-1,Amruta08/Amruta_learns_to_code,06_AI_ML_DS/01_ML/09_ML_Algorithms_using_sklearn/14_Bagging/2_Bagging_heart_disease.ipynb,1ce1ef7736849cc22f41257e889f09943a27ccb7,https://github.com/Amruta08/Amruta_learns_to_code/blob/1ce1ef7736849cc22f41257e889f09943a27ccb7/06_AI_ML_DS/01_ML/09_ML_Algorithms_using_sklearn/14_Bagging/2_Bagging_heart_disease.ipynb,include,,"shape (918, 12); SVC, DT, bagging, RF fitted; 5-fold CV accuracy shown for SVC (0.8275) and DT."
48,048-1,jenish-ghimire/AI-Er-Learning,ML/18) PCA/excercise_heartDisease.ipynb,b717b652077a8a8a9382e6379cde86f5f6152c4a,https://github.com/jenish-ghimire/AI-Er-Learning/blob/b717b652077a8a8a9382e6379cde86f5f6152c4a/ML/18) PCA/excercise_heartDisease.ipynb,include,,"918 rows x 12 columns shown; SVC, LR, RF test accuracies printed; LR retrained on PCA gives 0.8056."
49,049-1,Soujatya05/HeartDisease-project,HeartdiseaseFinal.ipynb,417029b2356a0c307f872688aaeb42be43482619,https://github.com/Soujatya05/HeartDisease-project/blob/417029b2356a0c307f872688aaeb42be43482619/HeartdiseaseFinal.ipynb,include,,"shape (918, 12); five classifiers fitted; test accuracy/F1 printed; KNN saved with joblib (0.8859)."
50,050-1,SasinduShanaka/heart_disease_predict_model,Heart_Disease.ipynb,049189dcfb1983ed10e0aa812186dd84ae01e1dc,https://github.com/SasinduShanaka/heart_disease_predict_model/blob/049189dcfb1983ed10e0aa812186dd84ae01e1dc/Heart_Disease.ipynb,exclude,E1,"df.shape prints (922, 12) with NaNs and impossible values (Age 622): a modified dataset, not the 918-row CSV."
51,051-1,SepehrTH/ml-notebook-hub,Heart Failure Prediction/heart_failure_prediction.ipynb,d510013579d6c6e84aebfb78fa7b43207e81ce43,https://github.com/SepehrTH/ml-notebook-hub/blob/d510013579d6c6e84aebfb78fa7b43207e81ce43/Heart Failure Prediction/heart_failure_prediction.ipynb,include,,"Kaggle heart.csv, 12 columns, 734+184=918 rows; DT, RF, XGBoost grid-searched; test accuracies printed."
52,052-1,shabana1408/Heart-Failure-Prediction,Parts/Project_2_Part_1.ipynb,135c46cc89ad54d18c65c68d681bcd7323ccf74d,https://github.com/shabana1408/Heart-Failure-Prediction/blob/135c46cc89ad54d18c65c68d681bcd7323ccf74d/Parts/Project_2_Part_1.ipynb,exclude,E2,Dataset proposal notebook; heart.csv loaded (918x12) and described only; no classifier is fitted.
53,053-1,MahmoudHousam/AHC-Heart-Failure-Prediction,Untitled.ipynb,ea87083289f6e6d4c6c584e12c9f5e77217c8aff,https://github.com/MahmoudHousam/AHC-Heart-Failure-Prediction/blob/ea87083289f6e6d4c6c584e12c9f5e77217c8aff/Untitled.ipynb,exclude,E2,"Loads heart.csv, appends 100 synthetic Faker rows, writes to SQLite/CSV; no classifier is fitted."
54,054-1,sansidsac/ML_Basics,PCA-principal-component-analysis/pca-heart.ipynb,399704bd0eecaff6ef561c29daf6a6be6340cca1,https://github.com/sansidsac/ML_Basics/blob/399704bd0eecaff6ef561c29daf6a6be6340cca1/PCA-principal-component-analysis/pca-heart.ipynb,include,,"Shape (918, 12); RandomForest fitted on scaled and PCA features; test score() values 0.845 and 0.735 printed."
54,054-2,sansidsac/ML_Basics,ensemble-learning-bagging/bagging-heart-disease.ipynb,399704bd0eecaff6ef561c29daf6a6be6340cca1,https://github.com/sansidsac/ML_Basics/blob/399704bd0eecaff6ef561c29daf6a6be6340cca1/ensemble-learning-bagging/bagging-heart-disease.ipynb,skipped_repo_done,,Repository already has an included notebook (054-1).
55,055-1,gitetaitg/Perbandingan-performa-model-prediksi-penyakit-jantung,Porto 3 sakit jantung (dokumentasi pribadi).ipynb,532635427d55875c28898a57402cfa9fb2e4590c,https://github.com/gitetaitg/Perbandingan-performa-model-prediksi-penyakit-jantung/blob/532635427d55875c28898a57402cfa9fb2e4590c/Porto 3 sakit jantung (dokumentasi pribadi).ipynb,include,,918x12 heart.csv; six classifiers in pipelines with RandomizedSearchCV; test classification reports with accuracy printed.
