position,file,metric_name,metric_value,accuracy_value,value_source,eval_design,test_size,stratify,seed_fixed,models,headline_model,n_models,best_of_n,tuning,hyperparams,fit_before_split,scaling,encoding,chol_zero,chol_zero_before_split,outlier_removal,outlier_before_split,resampling,features_dropped,dedup,source_imputation_mentioned
22,022-1,accuracy,0.7016574585635359,0.7016574585635359,output,single_split,0.2,no,yes,random_forest,random_forest,1.0,no,none,default,yes,none,mixed,ignored,na,yes,yes,none,,none,no
26,026-1,accuracy,0.88,0.88,output,single_split,0.2,no,yes,logistic_regression,logistic_regression,1.0,no,none,default,no,standard,onehot,dropped,na,no,na,none,,none,no
28,028-1,accuracy,0.8623,0.8623,output,single_split,0.3,yes,yes,svm;logistic_regression;random_forest,svm,3.0,no,none,default,no,standard,mixed,ignored,na,no,na,none,,none,no
31,031-1,accuracy,0.8278,0.8278,output,cv,,yes,no,logistic_regression;decision_tree;random_forest;svm,random_forest,4.0,yes,none,default,yes,standard,onehot,ignored,na,no,na,none,,none,no
34,034-1,accuracy,0.8608695652173913,0.8608695652173913,output,single_split,0.25,no,no,logistic_regression,logistic_regression,1.0,no,none,default,na,none,onehot,ignored,na,no,na,none,,none,no
35,035-1,accuracy,0.8859,0.8859,output,single_split,0.2,no,yes,decision_tree;random_forest;xgboost,xgboost,3.0,yes,none,set,na,none,onehot,ignored,na,no,na,none,,none,no
36,036-1,accuracy,0.9057971014492754,0.9057971014492754,output,single_split,0.3,no,yes,knn,knn,1.0,no,none,set,yes,other,onehot,other,yes,no,na,none,,none,no
37,037-1,accuracy,0.8641,0.8641,output,single_split,0.2,no,yes,decision_tree;random_forest;xgboost,xgboost,3.0,no,none,set,na,none,onehot,ignored,na,no,na,none,,none,no
38,038-1,accuracy,0.8804347826086957,0.8804347826086957,output,single_split,0.2,no,yes,mlp;random_forest;svm,random_forest,3.0,no,none,default,yes,standard,onehot,ignored,na,no,na,none,,none,no
39,039-1,accuracy,0.8944,0.8944,output,single_split,0.2,no,yes,svm;logistic_regression;random_forest,svm,3.0,yes,none,default,yes,standard,onehot,ignored,na,yes,yes,none,,none,no
40,040-1,accuracy,0.858696,0.858696,output,single_split,0.2,no,yes,mlp,mlp,1.0,no,none,set,no,minmax,onehot,ignored,na,no,na,none,,none,no
41,041-1,accuracy,0.8181338244321669,0.8181338244321669,output,cv,,yes,no,svm;other;decision_tree;random_forest,random_forest,4.0,yes,none,default,yes,standard,mixed,ignored,na,yes,yes,none,,none,no
45,045-1,accuracy,0.7772,0.7772,output,single_split,0.2,no,yes,knn,knn,1.0,no,other,set,no,standard,none,ignored,na,no,na,none,Sex;ChestPainType;RestingECG;ExerciseAngina;ST_Slope,none,no
46,046-1,accuracy,0.8641,0.8641,output,single_split,0.2,no,yes,logistic_regression;knn;naive_bayes;decision_tree;svm,svm,5.0,yes,none,default,yes,standard,onehot,imputed,yes,no,na,none,,checked,no
47,047-1,accuracy,0.827473618870267,0.827473618870267,output,cv,,yes,no,svm;other;decision_tree;random_forest,svm,4.0,yes,none,default,yes,standard,mixed,ignored,na,yes,yes,none,,none,no
48,048-1,accuracy,0.8055555555555556,0.8055555555555556,output,single_split,0.2,no,yes,svm;logistic_regression;random_forest,logistic_regression,3.0,no,none,default,yes,standard,mixed,ignored,na,yes,yes,none,,none,no
