file,field,first,second,agree,resolved,resolution_note
031-1,dedup,none,none,True,,
031-1,source_imputation_mentioned,no,no,True,,
038-1,metric_name,accuracy,accuracy,True,,
038-1,metric_value,0.8804,0.8804,True,,
038-1,accuracy_value,0.8804,0.8804,True,,
038-1,value_source,output,output,True,,
038-1,eval_design,single_split,single_split,True,,
038-1,test_size,0.2000,0.2000,True,,
038-1,stratify,no,no,True,,
038-1,seed_fixed,yes,yes,True,,
038-1,models,mlp;random_forest;svm,mlp;random_forest;svm,True,,
038-1,headline_model,random_forest,random_forest,True,,
038-1,n_models,3,3,True,,
038-1,best_of_n,no,no,True,,
038-1,tuning,none,none,True,,
038-1,hyperparams,default,default,True,,
038-1,fit_before_split,yes,yes,True,,
038-1,scaling,standard,standard,True,,
038-1,encoding,onehot,onehot,True,,
038-1,chol_zero,ignored,ignored,True,,
038-1,chol_zero_before_split,na,na,True,,
038-1,outlier_removal,no,no,True,,
038-1,outlier_before_split,na,na,True,,
038-1,resampling,none,none,True,,
038-1,features_dropped,,,True,,
038-1,dedup,none,none,True,,
038-1,source_imputation_mentioned,no,no,True,,
040-1,metric_name,accuracy,accuracy,True,,
040-1,metric_value,0.8587,0.8587,True,,
040-1,accuracy_value,0.8587,0.8587,True,,
040-1,value_source,output,output,True,,
040-1,eval_design,single_split,single_split,True,,
040-1,test_size,0.2000,0.2000,True,,
040-1,stratify,no,no,True,,
040-1,seed_fixed,yes,yes,True,,
040-1,models,mlp,mlp,True,,
040-1,headline_model,mlp,mlp,True,,
040-1,n_models,1,1,True,,
040-1,best_of_n,no,no,True,,
040-1,tuning,none,none,True,,
040-1,hyperparams,set,set,True,,
040-1,fit_before_split,no,no,True,,
040-1,scaling,minmax,minmax,True,,
040-1,encoding,onehot,onehot,True,,
040-1,chol_zero,ignored,ignored,True,,
040-1,chol_zero_before_split,na,na,True,,
040-1,outlier_removal,no,no,True,,
040-1,outlier_before_split,na,na,True,,
040-1,resampling,none,none,True,,
040-1,features_dropped,,,True,,
040-1,dedup,none,none,True,,
040-1,source_imputation_mentioned,no,no,True,,
041-1,metric_name,accuracy,accuracy,True,,
041-1,metric_value,0.8181,0.8181,True,,
041-1,accuracy_value,0.8181,0.8181,True,,
041-1,value_source,output,output,True,,
041-1,eval_design,cv,cv,True,,
041-1,test_size,,,True,,
041-1,stratify,yes,na,False,yes,cv=5 on a classifier is StratifiedKFold in sklearn; first coding kept
041-1,seed_fixed,no,no,True,,
041-1,models,decision_tree;other;random_forest;svm,decision_tree;other;random_forest;svm,True,,
041-1,headline_model,random_forest,random_forest,True,,
041-1,n_models,4,4,True,,
041-1,best_of_n,yes,yes,True,,
041-1,tuning,none,none,True,,
041-1,hyperparams,default,default,True,,
041-1,fit_before_split,yes,yes,True,,
041-1,scaling,standard,standard,True,,
041-1,encoding,mixed,mixed,True,,
041-1,chol_zero,ignored,ignored,True,,
041-1,chol_zero_before_split,na,na,True,,
041-1,outlier_removal,yes,yes,True,,
041-1,outlier_before_split,yes,yes,True,,
041-1,resampling,none,none,True,,
041-1,features_dropped,,,True,,
041-1,dedup,none,none,True,,
041-1,source_imputation_mentioned,no,no,True,,
045-1,metric_name,accuracy,accuracy,True,,
045-1,metric_value,0.7772,0.7772,True,,
045-1,accuracy_value,0.7772,0.7772,True,,
045-1,value_source,output,output,True,,
045-1,eval_design,single_split,single_split,True,,
045-1,test_size,0.2000,0.2000,True,,
045-1,stratify,no,no,True,,
045-1,seed_fixed,yes,yes,True,,
045-1,models,knn,knn,True,,
045-1,headline_model,knn,knn,True,,
045-1,n_models,1,1,True,,
045-1,best_of_n,no,no,True,,
045-1,tuning,other,other,True,,
045-1,hyperparams,set,set,True,,
045-1,fit_before_split,no,no,True,,
045-1,scaling,standard,standard,True,,
045-1,encoding,none,none,True,,
045-1,chol_zero,ignored,ignored,True,,
045-1,chol_zero_before_split,na,na,True,,
045-1,outlier_removal,no,no,True,,
045-1,outlier_before_split,na,na,True,,
045-1,resampling,none,none,True,,
045-1,features_dropped,ChestPainType;ExerciseAngina;RestingECG;ST_Slope;Sex,ChestPainType;ExerciseAngina;RestingECG;ST_Slope;Sex,True,,
045-1,dedup,none,none,True,,
045-1,source_imputation_mentioned,no,no,True,,
046-1,metric_name,accuracy,accuracy,True,,
046-1,metric_value,0.8641,0.8641,True,,
046-1,accuracy_value,0.8641,0.8641,True,,
046-1,value_source,output,output,True,,
046-1,eval_design,single_split,single_split,True,,
046-1,test_size,0.2000,0.2000,True,,
046-1,stratify,no,no,True,,
046-1,seed_fixed,yes,yes,True,,
046-1,models,decision_tree;knn;logistic_regression;naive_bayes;svm,decision_tree;knn;logistic_regression;naive_bayes;svm,True,,
046-1,headline_model,svm,svm,True,,
046-1,n_models,5,5,True,,
046-1,best_of_n,yes,yes,True,,
046-1,tuning,none,none,True,,
046-1,hyperparams,default,default,True,,
046-1,fit_before_split,yes,yes,True,,
046-1,scaling,standard,standard,True,,
046-1,encoding,onehot,onehot,True,,
046-1,chol_zero,imputed,imputed,True,,
046-1,chol_zero_before_split,yes,yes,True,,
046-1,outlier_removal,no,no,True,,
046-1,outlier_before_split,na,na,True,,
046-1,resampling,none,none,True,,
046-1,features_dropped,,,True,,
046-1,dedup,checked,checked,True,,
046-1,source_imputation_mentioned,no,no,True,,
054-1,metric_name,accuracy,accuracy,True,,
054-1,metric_value,0.7348,0.7348,True,,
054-1,accuracy_value,0.7348,0.7348,True,,
054-1,value_source,output,output,True,,
054-1,eval_design,single_split,single_split,True,,
054-1,test_size,0.2000,0.2000,True,,
054-1,stratify,no,no,True,,
054-1,seed_fixed,yes,yes,True,,
054-1,models,random_forest,random_forest,True,,
054-1,headline_model,random_forest,random_forest,True,,
054-1,n_models,1,1,True,,
054-1,best_of_n,no,no,True,,
054-1,tuning,none,none,True,,
054-1,hyperparams,default,default,True,,
054-1,fit_before_split,yes,yes,True,,
054-1,scaling,standard,standard,True,,
054-1,encoding,onehot,onehot,True,,
054-1,chol_zero,ignored,ignored,True,,
054-1,chol_zero_before_split,na,na,True,,
054-1,outlier_removal,yes,yes,True,,
054-1,outlier_before_split,yes,yes,True,,
054-1,resampling,none,none,True,,
054-1,features_dropped,,,True,,
054-1,dedup,none,none,True,,
054-1,source_imputation_mentioned,no,no,True,,
055-1,metric_name,accuracy,accuracy,True,,
055-1,metric_value,0.8100,0.8100,True,,
055-1,accuracy_value,0.8100,0.8100,True,,
055-1,value_source,output,output,True,,
055-1,eval_design,single_split,single_split,True,,
055-1,test_size,0.2000,0.2000,True,,
055-1,stratify,yes,yes,True,,
055-1,seed_fixed,yes,yes,True,,
055-1,models,decision_tree;knn;lightgbm;logistic_regression;random_forest;xgboost,decision_tree;knn;lightgbm;logistic_regression;random_forest;xgboost,True,,
055-1,headline_model,random_forest,random_forest,True,,
055-1,n_models,6,6,True,,
055-1,best_of_n,no,no,True,,
055-1,tuning,random,random,True,,
055-1,hyperparams,set,set,True,,
055-1,fit_before_split,yes,yes,True,,
055-1,scaling,standard,standard,True,,
055-1,encoding,onehot,onehot,True,,
055-1,chol_zero,imputed,imputed,True,,
055-1,chol_zero_before_split,yes,yes,True,,
055-1,outlier_removal,no,no,True,,
055-1,outlier_before_split,na,na,True,,
055-1,resampling,none,none,True,,
055-1,features_dropped,Cholesterol;MaxHR;Oldpeak;RestingECG;ST_Slope,Cholesterol;MaxHR;Oldpeak;RestingECG;ST_Slope,True,,
055-1,dedup,none,none,True,,
055-1,source_imputation_mentioned,no,no,True,,
